bug_type,qualifier,severity,line,column,procedure,procedure_start_line,file,bug_trace,key,hash,bug_type_hum,error_code_line,sequence,API_name,is_pythonCAPI,node_key,is_sqlCAPI
UNINITIALIZED_VALUE,The value read from aHash[_] was never initialized.,ERROR,463,7,main,349,tool/mkkeywordhash.c,"[{'level': 0, 'filename': 'tool/mkkeywordhash.c', 'line_number': 463, 'column_number': 7, 'description': ''}]",mkkeywordhash.c|main|UNINITIALIZED_VALUE,a3b7c8bb48b59db7129b547b7c8b1475,Uninitialized Value,"  463.       aHash[h] *= 2;
",1,,-1,,0
UNINITIALIZED_VALUE,The value read from aHash[_] was never initialized.,ERROR,466,30,main,349,tool/mkkeywordhash.c,"[{'level': 0, 'filename': 'tool/mkkeywordhash.c', 'line_number': 466, 'column_number': 30, 'description': ''}]",mkkeywordhash.c|main|UNINITIALIZED_VALUE,a3b7c8bb48b59db7129b547b7c8b1475,Uninitialized Value,"  466.     for(j=count=0; j<i; j++) count += aHash[j];
",2,for,0,,0
UNINITIALIZED_VALUE,The value read from aHash[_] was never initialized.,ERROR,477,5,main,349,tool/mkkeywordhash.c,"[{'level': 0, 'filename': 'tool/mkkeywordhash.c', 'line_number': 477, 'column_number': 5, 'description': ''}]",mkkeywordhash.c|main|UNINITIALIZED_VALUE,a3b7c8bb48b59db7129b547b7c8b1475,Uninitialized Value,"  477.     aKeywordTable[i].iNext = aHash[h];
",3,,-1,,0
UNINITIALIZED_VALUE,The value read from aHash[_] was never initialized.,ERROR,529,5,main,349,tool/mkkeywordhash.c,"[{'level': 0, 'filename': 'tool/mkkeywordhash.c', 'line_number': 529, 'column_number': 5, 'description': ''}]",mkkeywordhash.c|main|UNINITIALIZED_VALUE,a3b7c8bb48b59db7129b547b7c8b1475,Uninitialized Value,"  529.     printf("" %3d,"", aHash[i]);
",4,printf,0,,0
UNINITIALIZED_VALUE,The value read from set[_] was never initialized.,ERROR,1763,30,msort,1748,tool/lemon.c,"[{'level': 0, 'filename': 'tool/lemon.c', 'line_number': 1763, 'column_number': 30, 'description': ''}]",lemon.c|msort|UNINITIALIZED_VALUE,5f0256697fc4fed2c4c21b91d750372a,Uninitialized Value,"  1763.     for(i=0; i<LISTSIZE-1 && set[i]!=0; i++){
",5,for,0,,0
UNINITIALIZED_VALUE,The value read from set[_] was never initialized.,ERROR,1770,33,msort,1748,tool/lemon.c,"[{'level': 0, 'filename': 'tool/lemon.c', 'line_number': 1770, 'column_number': 33, 'description': ''}]",lemon.c|msort|UNINITIALIZED_VALUE,5f0256697fc4fed2c4c21b91d750372a,Uninitialized Value,"  1770.   for(i=0; i<LISTSIZE; i++) if( set[i] ) ep = merge(set[i],ep,cmp,offset);
",6,for,0,,0
UNINITIALIZED_VALUE,The value read from used[_] was never initialized.,ERROR,3529,29,translate_code,3462,tool/lemon.c,"[{'level': 0, 'filename': 'tool/lemon.c', 'line_number': 3529, 'column_number': 29, 'description': ''}]",lemon.c|translate_code|UNINITIALIZED_VALUE,4f5660b8f0c3d78353081a84d2b5bc90,Uninitialized Value,"  3529.     if( rp->rhsalias[i] && !used[i] ){
",7,if,0,,0
DEAD_STORE,The value written to &lineno (type int) is never used.,ERROR,3594,3,print_stack_union,3588,tool/lemon.c,"[{'level': 0, 'filename': 'tool/lemon.c', 'line_number': 3594, 'column_number': 3, 'description': 'Write of unused value'}]",lemon.c|print_stack_union|DEAD_STORE,3ce312f51a2bd6678bdb6a41516595c9,Dead Store,"  3594.   int lineno = *plineno;    /* The line number of the output */
",8,,-1,,0
DEAD_STORE,The value written to &c (type int) is never used.,ERROR,24511,7,sqlite3Utf16ByteLen,24504,sqlite3.c,"[{'level': 0, 'filename': 'sqlite3.c', 'line_number': 24511, 'column_number': 7, 'description': 'Write of unused value'}]",sqlite3.c|sqlite3Utf16ByteLen|DEAD_STORE,403b6f6ed782f3a4c6b8f5842d7bac32,Dead Store,"  24511.       READ_UTF16BE(z, 1, c);
",9,BE,0,,0
DEAD_STORE,The value written to &c (type int) is never used.,ERROR,24516,7,sqlite3Utf16ByteLen,24504,sqlite3.c,"[{'level': 0, 'filename': 'sqlite3.c', 'line_number': 24516, 'column_number': 7, 'description': 'Write of unused value'}]",sqlite3.c|sqlite3Utf16ByteLen|DEAD_STORE,403b6f6ed782f3a4c6b8f5842d7bac32,Dead Store,"  24516.       READ_UTF16LE(z, 1, c);
",10,LE,0,,0
